wall_time,event,cmd_seq,cmd_type,cmd_type_name,cmd_status,cmd_status_name,ack_rtt_ms,pc_from_section_id,pc_from_label,pc_from_profile_key,pc_to_section_id,pc_to_label,pc_to_profile_key,pc_section_id_after,pico_actual_section_id,pico_active_profile_id,pico_active_profile_key,pico_last_cmd_seq,pico_last_cmd_type,pico_last_cmd_status,t_ms,seq,base_speed,position,error,d_error,left_cmd,right_cmd,on_line,is_marker,packet_loss_count,bad_packet_count,profile_set,profile_version,profile_source_key,profile_label_ko,profile_base_speed,profile_curve_speed,profile_sharp_curve_speed,profile_min_run_speed,profile_kp,profile_kd,profile_max_correction,profile_reverse_allow,profile_reverse_pwm_mid,profile_reverse_pwm_high,profile_error_curve_threshold,profile_error_sharp_threshold,profile_d_error_curve_threshold,profile_d_error_sharp_threshold,profile_search_pwm,profile_line_loss_max_ms
2026-07-10T06:59:03.553,NEXT_SECTION,1,5,NEXT_SECTION,0,OK,65,0,시작구간,WIDE_S,1,긴 직진 구간,STRAIGHT,1,0,2,WIDE_S,0,0,0,3790,150,1000,1852,-1648,-46,304,1000,1,0,1,0,ATTACK_V6,7,WIDE_S,넓은 S자,1000,1000,940,600,0.42,0.1,780,True,0,-80,2200,3400,1700,2600,280,240
2026-07-10T06:59:09.670,NEXT_SECTION,2,5,NEXT_SECTION,0,OK,45,1,긴 직진 구간,STRAIGHT,2,짧은 S자,NARROW_S,2,1,1,STRAIGHT,1,5,0,9942,395,1000,3515,15,14,1000,994,1,0,5,0,ATTACK_V6,7,STRAIGHT,직진,1000,1000,980,600,0.38,0.08,620,False,0,0,2400,3400,1900,2800,260,220
2026-07-10T06:59:13.517,NEXT_SECTION,3,5,NEXT_SECTION,0,OK,63,2,짧은 S자,NARROW_S,3,짧은 직진,STRAIGHT,3,2,3,NARROW_S,2,5,0,13771,550,1000,2979,-521,-21,758,1000,1,0,11,0,ATTACK_V6,7,NARROW_S,좁은 S자,1000,970,880,560,0.46,0.12,920,True,-60,-180,1650,2700,1250,2100,300,280
2026-07-10T06:59:14.895,NEXT_SECTION,4,5,NEXT_SECTION,0,OK,44,3,짧은 직진,STRAIGHT,4,넓은 S자,WIDE_S,4,3,1,STRAIGHT,3,5,0,15165,604,1000,3503,3,186,1000,984,1,0,11,0,ATTACK_V6,7,STRAIGHT,직진,1000,1000,980,600,0.38,0.08,620,False,0,0,2400,3400,1900,2800,260,220
2026-07-10T06:59:23.801,NEXT_SECTION,5,5,NEXT_SECTION,0,OK,43,4,넓은 S자,WIDE_S,5,좁은 S자,NARROW_S,5,4,2,WIDE_S,4,5,0,24037,965,1000,6008,2508,-218,1000,220,1,0,24,0,ATTACK_V6,7,WIDE_S,넓은 S자,1000,1000,940,600,0.42,0.1,780,True,0,-80,2200,3400,1700,2600,280,240
2026-07-10T06:59:33.798,NEXT_SECTION,6,5,NEXT_SECTION,0,OK,56,5,좁은 S자,NARROW_S,6,헤어핀 진입+헤어핀,HAIRPIN_U,6,5,3,NARROW_S,5,5,0,34031,1371,1000,3196,-304,-225,834,1000,1,0,44,0,ATTACK_V6,7,NARROW_S,좁은 S자,1000,970,880,560,0.46,0.12,920,True,-60,-180,1650,2700,1250,2100,300,280
2026-07-10T06:59:34.694,NEXT_SECTION,7,5,NEXT_SECTION,0,OK,48,6,헤어핀 진입+헤어핀,HAIRPIN_U,7,중간 직진구간,STRAIGHT,7,6,4,HAIRPIN_U,6,5,0,34967,1409,1000,3787,287,-129,1000,881,1,0,44,0,ATTACK_V6,7,HAIRPIN_U,헤어핀,1000,970,880,560,0.47,0.12,920,True,-80,-220,1750,3000,1300,2200,320,320
2026-07-10T06:59:39.733,NEXT_SECTION,8,5,NEXT_SECTION,0,OK,41,7,중간 직진구간,STRAIGHT,8,완만한 U턴,WIDE_U,8,7,1,STRAIGHT,7,5,0,40005,1609,1000,3616,116,85,1000,950,1,0,45,0,ATTACK_V6,7,STRAIGHT,직진,1000,1000,980,600,0.38,0.08,620,False,0,0,2400,3400,1900,2800,260,220
2026-07-10T06:59:40.799,NEXT_SECTION,9,5,NEXT_SECTION,0,OK,49,8,완만한 U턴,WIDE_U,9,짧은 직진,STRAIGHT,9,8,5,WIDE_U,8,5,0,41065,1652,1000,2765,-735,-184,640,1000,1,0,45,0,ATTACK_V6,7,WIDE_U,완만한 U턴,1000,960,860,530,0.46,0.12,920,True,-80,-200,1550,2500,1150,1900,290,260
2026-07-10T06:59:44.590,NEXT_SECTION,10,5,NEXT_SECTION,0,OK,40,9,짧은 직진,STRAIGHT,10,좁은 S자 절반,NARROW_S,10,9,1,STRAIGHT,9,5,0,44867,1805,1000,3493,-7,323,1000,977,1,0,48,0,ATTACK_V6,7,STRAIGHT,직진,1000,1000,980,600,0.38,0.08,620,False,0,0,2400,3400,1900,2800,260,220
2026-07-10T06:59:46.322,NEXT_SECTION,11,5,NEXT_SECTION,0,OK,65,10,좁은 S자 절반,NARROW_S,11,Finish 전 짧은 직진,STRAIGHT,11,10,3,NARROW_S,10,5,0,46554,1874,970,1009,-2491,-26,50,1000,1,0,50,0,ATTACK_V6,7,NARROW_S,좁은 S자,1000,970,880,560,0.46,0.12,920,True,-60,-180,1650,2700,1250,2100,300,280
